"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"30",642028,"Josh Rogers","212","14.2","0.207","0.103","0.250","0.310","0.212","0.269","0.245","6","29","89.2","14.6","2089","86.4","85.78","5","29","1","-0.6","5.88","108","151","113","141","293","310","289"
"30",519443,"Brandon Workman","648","4.6","0.100","0.133","0.111","0.233","0.139","0.193","0.171","3","30","86.7","14.5","2301","85.8","86.41","11","30","0","0.6","6.72","110","156","116","149","281","317","288"
"29",519008,"T.J. McFarland","1069","2.7","0.172","0.138","0.167","0.310","0.204","0.307","0.249","5","29","86.0","-9.3","1978","89.9","88.23","3","28","1","-1.7","5.41","108","149","109","150","297","325","302"
"28",641341,"Tyler Bashlor","565","5.0","0.143","0.214","0.100","0.357","0.208","0.341","0.263","4","28","89.5","26.9","2623","93.4","93.15","6","28","0","-0.3","6.16","107","148","109","144","303","322","301"
"27",624133,"Ranger Suarez","225","12.0","0.385","0.346","0.471","0.731","0.468","0.373","0.309","10","26","88.8","7.0","1894","88.5","88.22","3","23","3","-0.3","6.03","97","143","107","139","293","314","279"
"27",594577,"Mike Mayers","908","3.0","0.296","0.296","0.300","0.593","0.373","0.355","0.298","8","27","86.7","11.7","2314","92.2","91.46","4","26","1","-0.7","5.82","118","151","110","151","297","322","302"
"27",592836,"Taijuan Walker","224","12.1","0.370","0.074","0.417","0.444","0.353","0.446","0.389","10","27","91.9","11.6","2148","89.5","88.97","3","27","0","-0.5","6.08","111","149","122","151","309","331","297"
"27",605441,"Yacksel Rios","636","4.2","0.259","0.185","0.300","0.444","0.297","0.315","0.306","7","27","84.4","12.3","1995","92.6","92.17","6","27","0","-0.4","6.08","108","151","113","145","297","323","290"
"27",592547,"Deck McGuire","715","3.8","0.259","0.333","0.286","0.593","0.356","0.296","0.223","7","27","90.5","21.2","2442","89.6","88.38","7","24","3","-1.2","5.52","107","153","114","147","295","320","301"
"27",573064,"Vidal Nuno III","500","5.4","0.231","0.192","0.263","0.423","0.265","0.259","0.239","6","26","89.4","20.7","2444","84.1","82.75","5","25","2","-1.3","5.43","108","148","116","144","298","321","291"
"27",643316,"Paul Fry","636","4.2","0.296","0.037","0.421","0.333","0.274","0.242","0.250","8","27","83.3","8.9","2433","87.9","87.56","4","23","4","-0.3","6.06","109","155","117","146","297","320","293"
